country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Malaysia,Sarawak,10,11727780,1556882502,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sarawak,15,11699538,1555554686,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sarawak,20,11680470,1554629195,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sarawak,25,11666588,1553943118,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sarawak,30,11643008,1552792201,559,108960018,39314953,69645066,50466301,53399641,61290774,92505681,106633007,100585775,156836657,143791295,288001505,121564559,173900739,233823817,104720249,172812389,113234145,120765846,108101308,97101394,78340483,45827244,44934669,46532412,52493343,47377229
Malaysia,Sarawak,50,11524587,1546121442,561,108564312,38710578,69853735,50148964,53196088,61080295,92195346,106343544,100394218,156643642,143666987,287749119,121478737,173735120,233452500,104365407,172026720,112654964,119948159,107317565,96373406,77730346,45419915,44552089,46156234,52058468,46855664
Malaysia,Sarawak,75,11067417,1513688916,568,106363887,36552037,69811850,48672306,51931163,59781879,90167755,104521047,98979274,154694201,142496623,284942916,120662524,172590566,231162812,102121031,167812993,109620510,115882547,103568020,92961882,74737855,43558300,42766157,44405847,50043418,44651669
Malaysia,Selangor,0,782439,55057689,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Selangor,10,581299,54784898,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Selangor,15,575402,54536936,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Selangor,20,571758,54377461,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Selangor,25,568974,54259124,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Selangor,30,564554,54064774,515,3222176,2564880,657294,4325614,3678260,1646562,3693765,4053630,1933221,3839199,2904215,6813060,4327486,1525108,2857327,1420955,7858235,2125937,4215233,3294812,3482489,3026513,1803219,2878428,1446567,2164853,2017532
Malaysia,Selangor,50,543056,53005891,523,3163712,2438243,725468,4295394,3626629,1615024,3627524,4013113,1913930,3810143,2889702,6783877,4305533,1519152,2832050,1400749,7739247,2059492,4094049,3173233,3394058,2918598,1725352,2782395,1389563,2076510,1943765
Malaysia,Selangor,75,477578,49218038,547,2861934,2083395,778539,4034279,3304282,1406531,3176460,3731070,1753337,3566780,2756583,6516203,4111944,1470210,2674059,1293925,7220430,1768147,3512296,2662908,2992188,2462384,1394891,2352761,1144297,1735287,1645161
Malaysia,Trengganu,0,1288896,139835025,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Trengganu,10,1123164,139628072,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Trengganu,15,1117374,139349992,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Trengganu,20,1113675,139162955,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Trengganu,25,1111109,139036188,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Trengganu,30,1106233,138786161,612,6736537,3882932,2853606,3333220,3828907,2109194,6499730,5310370,4807895,5057168,6238306,8910995,10428537,6374762,9256329,6206737,9454819,8099228,11799148,8810667,7734888,7444932,4604234,4917149,6213716,6262281,7973697
Malaysia,Trengganu,50,1084801,137499515,620,6669894,3740818,2929075,3315566,3813889,2102831,6475235,5291633,4794800,5041316,6215027,8891553,10410689,6362784,9227638,6160463,9310490,8019179,11629260,8691710,7624772,7331535,4497382,4820339,6119665,6161580,7768119
Malaysia,Trengganu,75,1007117,131751641,637,6270283,3246560,3023725,3209514,3693612,2048937,6261049,5119998,4645617,4862494,5997971,8693435,10228965,6268340,9006986,5867714,8541107,7474422,10695900,8005371,6936450,6612908,3912738,4258532,5561172,5638987,6944607
